43,12,2389
61, 0,1194
51, 0,1365
40,12,2729
59, 0,2709
47, 0,1194
37,12,5461
55, 0,1364
45,12,2725
63, 0,2645
52, 0,2730
41,12,5460
60, 0,1362
49, 0,2645
38,12,4778
57, 0,2730
46, 0,1362
35,12,2645
54, 0,2389
43,12,2730
62, 0,2729
50, 0,1354
40,12,2389
59, 0,1365
48, 0,2729
36,12,5450
55, 0,1194
45,12,1365
64, 0,1365
52, 0,2725
41,12,5290
60, 0, 682
50, 0,1365
38,12,2725
57, 0,2645
46, 0, 682
36,12,5461
53, 0,1362
43,12,2709
62, 0,2389
51, 0,2730
39,12,5458
58, 0,1354
48, 0,2389
37,12,2730
55, 0,2730
44,12,5450
63, 0,1194
53, 0,1365
41,12,2730
60, 0,2725
49, 0,1322
39,12,1365
57, 0,1365
46, 0,2725
35,12,5418
54, 0, 682
43,12,5461
61, 0,1364
51, 0,2709
40,12,4778
58, 0,2730
47, 0,1364
37,12,2709
56, 0,2645
44,12,2730
63, 0,2730
52, 0,1354
42,12,2645
60, 0,1365
49, 0,2730
38,12,5458
57, 0,1322
46, 0,1365
35,12,2389
54, 0,1365
43,12,4778
61, 0,1194
51, 0,1365
40,12,2729
59, 0,2709
47, 0,1194
37,12,5461
55, 0,1364
45,12,2725
64, 0,2389
53, 0,2730
42,12,5460
61, 0,1362
50, 0,2645
39,12,4778
58, 0,2730
47, 0,1364
36,12,2725
55, 0,2645
44,12,4778
63, 0,2730
51, 0,1362
41,12,2645
60, 0,1365
49, 0,2730
37,12,5450
56, 0,1194
46,12,1365
65, 0,1365
53,12,2725
72, 0,2645
61, 0, 682
51,12,5461
68, 0,1322
58, 0,2709
47,12,5290
66, 0,2730
54, 0,1364
44, 9,2709
63, 0,2389
52, 0,2730
40, 6,5458
59, 0,1322
49, 0,2389
38, 3,2730
56, 0,2730
45,12,4778
64, 0,1194
54, 0,1365
42, 9,2725
61, 0,2645
50, 0,1322
40, 5,5461
57, 0, 682
47, 0,1365
36, 1,5290
55, 0, 682
44,10,5461
62, 0,1362
52, 0,2709
41, 7,4778
59, 0,2730
48, 0,1364
38, 3,2709
57, 0,2645
45,12,2730
64, 0,1194
54, 0,1365
43, 9,2645
61, 0,1365
50, 0,2730
39, 6,5458
58, 0,1322
47, 0,1365
36, 2,2730
55, 0,2725
44,10,5418
62, 0,1194
52, 0,1365
41, 7,2645
60, 0,2709
48, 0,1194
38, 4,5461
56, 0,1364
46,12,2725
64, 0,2645
53, 0,2730
42,12,5460
61, 0,1362
50, 0,2645
39,12,2730
58, 0,2730
47, 0,1362
36,12,2645
55, 0,2389
44,12,2730
